Periodo,Población ocupada,Población económicamente activa,Población total,Población < 15,Población >= 15,Tasa de informalidad laboral
Primer trimestre del 2021,52973270,55385133,127203297,30262428,96940869,55.1
Cuarto trimestre del 2020,53331429,55880916,127523986,30327449,97196537,55.6
Tercer trimestre del 2020,51011033,53780524,127237648,30339547,96898101,54.2
Primer trimestre del 2020,55352304,57328364,126661703,30877075,95784628,56.1
Cuarto trimestre del 2019,55683450,57625521,126371358,30965777,95405581,56.2
Tercer trimestre del 2019,55201939,57349577,126078860,31132225,94946635,56.5
Segundo trimestre del 2019,54936719,56951215,125782872,31159998,94622874,56.3
Primer trimestre del 2019,54152266,56038471,125489149,31231710,94257439,56.9
Cuarto trimestre del 2018,54194608,56023199,125191900,31346044,93845856,56.6
Tercer trimestre del 2018,54027997,55962275,124891145,31343389,93547756,56.7
Segundo trimestre del 2018,53785257,55643417,124587124,31519384,93067740,56.6
Primer trimestre del 2018,52876916,54590773,124286623,31681818,92604805,56.7
Cuarto trimestre del 2017,52865845,54696638,123982528,31938606,92043922,57
Tercer trimestre del 2017,52438646,54369915,123675351,32162789,91512562,57.2
Segundo trimestre del 2017,52198611,54068791,123364426,32245328,91119098,56.5
Primer trimestre del 2017,51859895,53681720,123057147,32412601,90644546,57.2
Cuarto trimestre del 2016,52123674,54034800,122746451,32269331,90477120,57.2
Tercer trimestre del 2016,52043100,54226803,122433211,32346802,90086409,57.4
Segundo trimestre del 2016,51433590,53539565,122117027,32341976,89775051,57.2
Primer trimestre del 2016,50778629,52918649,121803321,32430876,89372445,57.4
Cuarto trimestre del 2015,51568519,53809017,121486582,32432400,89054182,58.2
Tercer trimestre del 2015,50734656,53179919,121168094,32473895,88694199,57.8
Segundo trimestre del 2015,50336088,52623721,120846274,32654021,88192253,57.8
Primer trimestre del 2015,49806064,52007842,120527797,32644248,87883549,57.6
Cuarto trimestre del 2014,49823798,52108400,120205174,32684888,87520286,57.9
Tercer trimestre del 2014,49455344,52192043,119879581,32799239,87080342,57.9
Segundo trimestre del 2014,49301557,51836752,119550176,32962158,86588018,57.6
Primer trimestre del 2014,49080947,51559018,119224847,32944477,86280370,58
Cuarto trimestre del 2013,49945599,52370886,118896009,32767028,86128981,58.6
Tercer trimestre del 2013,49309167,52034353,118564077,32575196,85988881,58.9
Segundo trimestre del 2013,49296229,51895865,118229132,32464742,85764390,58.9
Primer trimestre del 2013,48358255,50847242,117898203,32222012,85676191,58.7
Cuarto trimestre del 2012,48822271,51317999,117564064,32217384,85346680,59.6
Tercer trimestre del 2012,49275020,51927050,117226029,32230570,84995459,59.8
Segundo trimestre del 2012,49003380,51477178,116884725,32315349,84569376,59.6
Primer trimestre del 2012,47726265,50192842,116545271,32367542,84177729,59.4
Cuarto trimestre del 2011,48307467,50772496,116202202,32461068,83741134,59.7
Tercer trimestre del 2011,47350681,50127032,115857912,32471253,83386659,59.6
Segundo trimestre del 2011,46891586,49482112,115511147,32517605,82993542,59.2
Primer trimestre del 2011,46005815,48505168,115168163,32541053,82627110,59.2
Cuarto trimestre del 2010,45911934,48478718,114818957,32592749,82226208,59.3
Tercer trimestre del 2010,46452588,49190032,114468031,32667988,81800043,59.3
Segundo trimestre del 2010,46597624,49133132,114114587,32623584,81491003,59.9
Primer trimestre del 2010,45524339,48069274,113764977,32738460,81026517,59.5
Cuarto trimestre del 2009,46343704,48903792,113408736,32618487,80790249,60
Tercer trimestre del 2009,45743215,48738589,113042691,32597252,80445439,59.8
Segundo trimestre del 2009,45027104,47453163,112663809,32707555,79956254,59.5
Primer trimestre del 2009,44627384,46977904,112281633,32846329,79435304,58.6
Cuarto trimestre del 2008,44798686,46753657,111891534,33239408,78652126,58.5
Tercer trimestre del 2008,45029841,46964082,111498183,33301945,78196238,58
Segundo trimestre del 2008,45293616,46905921,111105266,33393599,77711667,58.3
Primer trimestre del 2008,44651965,46453196,110722635,33249281,77473354,57.7
Cuarto trimestre del 2007,45246080,46868952,110344039,33350459,76993580,58.3
Tercer trimestre del 2007,44101860,45864926,109972848,33396129,76576719,57.7
Segundo trimestre del 2007,44050928,45569395,109607937,33567767,76040170,58
Primer trimestre del 2007,43526125,45314888,109257748,33417650,75840098,57.5
Cuarto trimestre del 2006,43942607,45580994,108914323,33583015,75331308,57.7
Tercer trimestre del 2006,43617867,45431392,108577054,33538666,75038388,58.1
Segundo trimestre del 2006,43212434,44611672,108246318,33681790,74564528,59.1
Primer trimestre del 2006,42740936,44306012,107928527,33638410,74290117,58.6
Cuarto trimestre del 2005,42863703,44245519,107615497,33504124,74111373,59.6
Tercer trimestre del 2005,42334898,44000204,107306131,33656026,73650105,59.7
Segundo trimestre del 2005,41676868,43180433,106999770,33668961,73330809,59.4
Primer trimestre del 2005,41441076,43099847,106701738,33626760,73074978,59.1
