País,Fecha,Casos totales,Personas vacunadas,Población
Mexico,2020-1-1,,,128932753
Mexico,2020-1-2,,,128932753
Mexico,2020-1-3,,,128932753
Mexico,2020-1-4,,,128932753
Mexico,2020-1-5,,,128932753
Mexico,2020-1-6,,,128932753
Mexico,2020-1-7,,,128932753
Mexico,2020-1-8,,,128932753
Mexico,2020-1-9,,,128932753
Mexico,2020-1-10,,,128932753
Mexico,2020-1-11,,,128932753
Mexico,2020-1-12,,,128932753
Mexico,2020-1-13,,,128932753
Mexico,2020-1-14,,,128932753
Mexico,2020-1-15,,,128932753
Mexico,2020-1-16,,,128932753
Mexico,2020-1-17,,,128932753
Mexico,2020-1-18,,,128932753
Mexico,2020-1-19,,,128932753
Mexico,2020-1-20,,,128932753
Mexico,2020-1-21,,,128932753
Mexico,2020-1-22,,,128932753
Mexico,2020-1-23,,,128932753
Mexico,2020-1-24,,,128932753
Mexico,2020-1-25,,,128932753
Mexico,2020-1-26,,,128932753
Mexico,2020-1-27,,,128932753
Mexico,2020-1-28,,,128932753
Mexico,2020-1-29,,,128932753
Mexico,2020-1-30,,,128932753
Mexico,2020-1-31,,,128932753
Mexico,2020-2-1,,,128932753
Mexico,2020-2-2,,,128932753
Mexico,2020-2-3,,,128932753
Mexico,2020-2-4,,,128932753
Mexico,2020-2-5,,,128932753
Mexico,2020-2-6,,,128932753
Mexico,2020-2-7,,,128932753
Mexico,2020-2-8,,,128932753
Mexico,2020-2-9,,,128932753
Mexico,2020-2-10,,,128932753
Mexico,2020-2-11,,,128932753
Mexico,2020-2-12,,,128932753
Mexico,2020-2-13,,,128932753
Mexico,2020-2-14,,,128932753
Mexico,2020-2-15,,,128932753
Mexico,2020-2-16,,,128932753
Mexico,2020-2-17,,,128932753
Mexico,2020-2-18,,,128932753
Mexico,2020-2-19,,,128932753
Mexico,2020-2-20,,,128932753
Mexico,2020-2-21,,,128932753
Mexico,2020-2-22,,,128932753
Mexico,2020-2-23,,,128932753
Mexico,2020-2-24,,,128932753
Mexico,2020-2-25,,,128932753
Mexico,2020-2-26,,,128932753
Mexico,2020-2-27,,,128932753
Mexico,2020-2-28,1,,128932753
Mexico,2020-2-29,4,,128932753
Mexico,2020-3-1,5,,128932753
Mexico,2020-3-2,5,,128932753
Mexico,2020-3-3,5,,128932753
Mexico,2020-3-4,5,,128932753
Mexico,2020-3-5,5,,128932753
Mexico,2020-3-6,6,,128932753
Mexico,2020-3-7,6,,128932753
Mexico,2020-3-8,7,,128932753
Mexico,2020-3-9,7,,128932753
Mexico,2020-3-10,7,,128932753
Mexico,2020-3-11,8,,128932753
Mexico,2020-3-12,12,,128932753
Mexico,2020-3-13,26,,128932753
Mexico,2020-3-14,41,,128932753
Mexico,2020-3-15,53,,128932753
Mexico,2020-3-16,82,,128932753
Mexico,2020-3-17,93,,128932753
Mexico,2020-3-18,118,,128932753
Mexico,2020-3-19,164,,128932753
Mexico,2020-3-20,203,,128932753
Mexico,2020-3-21,251,,128932753
Mexico,2020-3-22,316,,128932753
Mexico,2020-3-23,367,,128932753
Mexico,2020-3-24,405,,128932753
Mexico,2020-3-25,475,,128932753
Mexico,2020-3-26,585,,128932753
Mexico,2020-3-27,717,,128932753
Mexico,2020-3-28,848,,128932753
Mexico,2020-3-29,993,,128932753
Mexico,2020-3-30,1094,,128932753
Mexico,2020-3-31,1215,,128932753
Mexico,2020-4-1,1378,,128932753
Mexico,2020-4-2,1510,,128932753
Mexico,2020-4-3,1688,,128932753
Mexico,2020-4-4,1890,,128932753
Mexico,2020-4-5,2143,,128932753
Mexico,2020-4-6,2439,,128932753
Mexico,2020-4-7,2785,,128932753
Mexico,2020-4-8,3181,,128932753
Mexico,2020-4-9,3441,,128932753
Mexico,2020-4-10,3844,,128932753
Mexico,2020-4-11,4219,,128932753
Mexico,2020-4-12,4661,,128932753
Mexico,2020-4-13,5014,,128932753
Mexico,2020-4-14,5399,,128932753
Mexico,2020-4-15,5847,,128932753
Mexico,2020-4-16,6297,,128932753
Mexico,2020-4-17,6875,,128932753
Mexico,2020-4-18,7497,,128932753
Mexico,2020-4-19,8261,,128932753
Mexico,2020-4-20,8772,,128932753
Mexico,2020-4-21,9501,,128932753
Mexico,2020-4-22,10544,,128932753
Mexico,2020-4-23,11633,,128932753
Mexico,2020-4-24,12872,,128932753
Mexico,2020-4-25,13842,,128932753
Mexico,2020-4-26,14677,,128932753
Mexico,2020-4-27,15529,,128932753
Mexico,2020-4-28,16752,,128932753
Mexico,2020-4-29,17799,,128932753
Mexico,2020-4-30,19224,,128932753
Mexico,2020-5-1,20739,,128932753
Mexico,2020-5-2,22088,,128932753
Mexico,2020-5-3,23471,,128932753
Mexico,2020-5-4,24905,,128932753
Mexico,2020-5-5,26025,,128932753
Mexico,2020-5-6,27634,,128932753
Mexico,2020-5-7,29616,,128932753
Mexico,2020-5-8,31522,,128932753
Mexico,2020-5-9,33460,,128932753
Mexico,2020-5-10,35022,,128932753
Mexico,2020-5-11,36327,,128932753
Mexico,2020-5-12,38324,,128932753
Mexico,2020-5-13,40186,,128932753
Mexico,2020-5-14,42595,,128932753
Mexico,2020-5-15,45032,,128932753
Mexico,2020-5-16,47144,,128932753
Mexico,2020-5-17,49219,,128932753
Mexico,2020-5-18,51633,,128932753
Mexico,2020-5-19,54346,,128932753
Mexico,2020-5-20,56594,,128932753
Mexico,2020-5-21,59567,,128932753
Mexico,2020-5-22,62527,,128932753
Mexico,2020-5-23,65856,,128932753
Mexico,2020-5-24,68620,,128932753
Mexico,2020-5-25,71105,,128932753
Mexico,2020-5-26,74560,,128932753
Mexico,2020-5-27,78023,,128932753
