folioviv,foliohog,ubica_geo,tam_loc,factor,clase_hog,sexo_jefe,edad_jefe,educa_jefe,tot_integ,ing_cor
0100013601,1,01001,1,175,2,1,74,04,3,76403.7
0100013602,1,01001,1,175,2,1,48,11,5,42987.73
0100013603,1,01001,1,175,2,1,39,10,2,580697.74
0100013604,1,01001,1,175,2,2,70,08,2,46252.71
0100013606,1,01001,1,175,2,2,51,04,4,53837.09
0100026701,1,01001,1,189,2,2,41,11,4,237742.54
0100026703,1,01001,1,189,1,2,57,09,1,32606.55
0100026704,1,01001,1,189,2,1,53,11,2,169918.01
0100026706,1,01001,1,189,2,1,30,06,3,17311.46
0100027201,1,01001,1,186,3,1,69,04,4,120488.31
0100027202,1,01001,1,186,2,2,76,03,2,52304.56999999999
0100027204,1,01001,1,186,1,1,77,04,1,12934.37
0100027205,1,01001,1,186,2,1,70,06,2,73196.14999999999
0100045501,1,01001,1,186,2,1,29,06,4,28800.64
0100045502,1,01001,1,186,2,1,68,09,4,109556.48
0100045503,1,01001,1,186,2,1,88,07,2,41048.21000000001
0100045505,1,01001,1,186,3,1,51,06,5,56101.17000000001
0100045506,1,01001,1,186,1,1,51,08,1,61800.87
0100054301,1,01001,1,198,3,1,58,06,4,42480.95999999999
0100054302,1,01001,1,198,2,1,59,10,3,49144.17
0100054303,1,01001,1,198,3,2,47,06,9,52782.15
0100054305,1,01001,1,198,1,2,65,04,1,28634.63
0100054306,1,01001,1,198,2,1,44,10,3,50869.53999999999
0100058901,1,01001,1,172,2,2,66,03,2,28760.84
0100058902,1,01001,1,172,2,1,66,07,2,29152.14
0100058903,1,01001,1,172,2,1,70,04,4,60344.49
0100058906,1,01001,1,172,1,1,71,04,1,12644.48
0100062801,1,01001,1,188,2,1,34,06,6,28155.72
0100062802,1,01001,1,188,2,2,50,10,4,70401.62
0100062803,1,01001,1,188,1,2,60,04,1,3826.22
0100062804,1,01001,1,188,2,1,27,08,2,35581.94
0100062805,1,01001,1,188,1,2,52,11,1,55204.91
0100062806,1,01001,1,188,1,2,56,08,1,10001.8
0100067401,1,01001,1,236,2,1,88,03,3,50322.05
0100067402,1,01001,1,236,2,1,66,11,3,203294.63
0100067403,1,01001,1,236,1,2,57,06,1,19858.04
0100067404,1,01001,1,236,1,2,73,04,1,28912.12
0100067405,1,01001,1,236,2,1,71,01,3,71437.17999999999
0100067406,1,01001,1,236,2,2,57,10,2,77493.53000000001
0100068901,1,01001,1,147,3,2,73,01,5,24962.31
0100068902,1,01001,1,147,2,2,31,06,4,40441.11000000001
0100068904,1,01001,1,147,3,1,72,03,9,36571.61
0100068906,1,01001,1,147,2,1,75,04,2,16535.74
0100069801,1,01001,1,168,2,1,25,06,3,49774.59
0100069802,1,01001,1,168,2,2,68,04,2,50654.65
0100069803,1,01001,1,168,2,1,26,08,3,95097.12
0100069804,1,01001,1,168,3,1,82,03,4,60954.08000000001
0100069805,1,01001,1,168,1,1,57,06,1,40911.7
0100069806,1,01001,1,168,2,2,77,03,2,32532.77
0100073401,1,01001,1,157,2,1,74,03,2,20569.5
0100073402,1,01001,1,157,3,1,82,03,2,43958.61
0100073403,1,01001,1,157,3,2,80,04,6,66280.36000000002
0100073404,1,01001,1,157,3,1,27,06,7,44766.84
0100073405,1,01001,1,157,3,2,35,09,4,58307.45999999999
0100074001,1,01001,1,169,2,1,47,06,5,28279.6
0100074002,1,01001,1,169,2,1,36,09,5,76531.95
0100074003,1,01001,1,169,3,1,38,05,3,56545.01
0100074004,1,01001,1,169,3,2,80,01,3,14330.35
0100074005,1,01001,1,169,3,1,24,05,5,45768.46
0100074006,1,01001,1,169,2,1,83,04,2,52917.71
0100076401,1,01001,1,159,3,2,48,06,3,26113.24
0100076402,1,01001,1,159,3,2,57,06,5,74468.57000000001
0100076403,1,01001,1,159,3,1,50,07,3,10251.69
0100076404,1,01001,1,159,3,1,55,06,7,55638.16
0100076405,1,01001,1,159,2,1,50,08,4,30612.55
0100076406,1,01001,1,159,2,1,48,08,2,30556.43
0100080001,1,01001,1,176,2,1,68,04,2,72622.10999999999
0100080002,1,01001,1,176,2,2,59,06,2,38157.03999999999
0100080003,1,01001,1,176,3,1,37,04,10,63666.73
0100080003,2,01001,1,176,2,1,50,03,2,15867.37
0100080004,1,01001,1,176,3,1,49,08,7,103417.29
0100080005,1,01001,1,176,3,1,35,07,9,197969.95
0100080006,1,01001,1,176,3,1,78,03,3,57032.9
0100082601,1,01001,1,158,3,1,44,10,9,91180.29000000001
0100082602,1,01001,1,158,2,1,60,08,3,72776.45
0100082603,1,01001,1,158,3,2,69,03,4,26724.86
0100082604,1,01001,1,158,2,1,44,09,4,44161.45
0100082605,1,01001,1,158,3,2,25,10,3,65567.2
0100082606,1,01001,1,158,1,2,47,11,1,224262.27
0100084701,1,01001,1,171,2,2,87,03,2,36983.58
0100084702,1,01001,1,171,3,2,60,04,5,71869.8
0100084703,1,01001,1,171,3,2,51,04,15,82734.41
0100084704,1,01001,1,171,2,1,71,06,2,38691.53
0100084705,1,01001,1,171,3,2,60,08,7,144255.65
0100084706,1,01001,1,171,1,1,52,04,1,31942.62
0100095601,1,01001,1,172,1,2,62,04,1,15898.1
0100095603,1,01001,1,172,3,2,37,08,6,62966.91
0100095604,1,01001,1,172,2,1,40,06,4,51130.76999999999
0100095605,1,01001,1,172,2,1,49,06,3,63220.31000000001
0100095606,1,01001,1,172,2,2,34,06,4,47105.88
0100102202,1,01001,1,155,2,2,74,03,2,29473.86
0100102203,1,01001,1,155,3,2,71,01,6,27926.77
0100102204,1,01001,1,155,2,1,44,10,4,86865.14000000001
0100102205,1,01001,1,155,3,2,63,03,4,28590.04
0100102206,1,01001,1,155,2,1,46,03,4,22996.92
0100102206,2,01001,1,155,1,2,36,04,1,22828.03
0100104701,1,01001,1,122,3,2,79,04,4,40406.54
0100104702,1,01001,1,122,2,1,31,10,3,49261.77999999999
0100104703,1,01001,1,122,2,1,45,08,4,41945.19
0100104705,1,01001,1,122,3,1,52,06,10,103745.85
0100104705,2,01001,1,122,2,1,26,03,4,12196.72
0100104706,1,01001,1,122,2,1,75,04,2,49836.87
0100113501,1,01001,1,130,2,1,28,09,2,24272.02
0100113502,1,01001,1,130,1,1,33,10,1,26903.07
0100113503,1,01001,1,130,1,1,57,06,1,21423.49
0100113505,1,01001,1,130,3,1,26,06,5,32267.87
0100113506,1,01001,1,130,3,1,40,09,2,77212.82999999999
0100154201,1,01001,1,226,1,2,64,08,1,16469.68
0100154203,1,01001,1,226,2,2,65,04,4,59528.8
0100154204,1,01001,1,226,2,1,68,04,2,36712.26
0100154205,1,01001,1,226,3,2,76,06,4,61359.07
0100154206,1,01001,1,226,1,2,66,04,1,11539.11
0100170501,1,01001,1,178,2,1,26,10,2,73618.01
0100170502,1,01001,1,178,1,1,32,11,1,111906.51
0100170503,1,01001,1,178,3,1,75,04,2,25331.4
0100170504,1,01001,1,178,1,2,75,03,1,11282.08
0100170505,1,01001,1,178,2,2,39,11,2,111627.91
0100170506,1,01001,1,178,2,1,29,03,4,14815
0100175303,1,01001,1,181,3,1,59,04,6,114342.02
0100175305,1,01001,1,181,3,2,51,04,11,75628.36
0100175306,1,01001,1,181,3,1,80,03,3,66979.52
0100186301,1,01001,1,190,3,1,49,09,10,86625.64
0100186303,1,01001,1,190,2,1,80,03,4,125839.02
0100186304,1,01001,1,190,2,1,83,04,2,38032.68
0100188902,1,01001,1,180,3,2,77,06,3,72302.06
0100188903,1,01001,1,180,2,1,48,06,4,58929.01
0100188904,1,01001,1,180,2,2,81,06,2,17843.36
0100188906,1,01001,1,180,3,2,65,04,3,24798.9
0100192801,1,01001,1,185,4,1,68,03,3,23016.38
0100192802,1,01001,1,185,2,1,28,10,4,64897.51
0100192803,1,01001,1,185,2,2,77,04,4,26283.69
0100192805,1,01001,1,185,3,1,79,03,5,85102.93999999999
0100192806,1,01001,1,185,1,1,39,07,1,23954.32
0100206401,1,01001,1,150,1,1,29,10,1,39180.73
